date,close_indice,close_future
2017-12-18,950.81,958.0
2017-12-19,947.62,942.5
2017-12-20,948.78003,949.0
2017-12-21,936.53003,937.8
2017-12-22,945.88,956.0
2017-12-23,945.88,956.0
2017-12-24,945.88,956.0
2017-12-25,949.28003,961.3
2017-12-26,955.72998,976.0
2017-12-27,958.02002,966.0
2017-12-28,966.90997,977.9
2017-12-29,975.52002,980.0
2017-12-30,975.52002,980.0
2017-12-31,975.52002,980.0
2018-01-01,975.52002,980.0
2018-01-02,992.71997,999.0
2018-01-03,1004.66,1012.8
2018-01-04,1014.15,1023.9
2018-01-05,1007.73,1012.0
2018-01-06,1007.73,1012.0
2018-01-07,1007.73,1012.0
2018-01-08,1023.5,1030.0
2018-01-09,1039.64,1042.0
2018-01-10,1039.7,1040.0
2018-01-11,1047.2,1052.8
2018-01-12,1049.86,1051.5
2018-01-13,1049.86,1051.5
2018-01-14,1049.86,1051.5
2018-01-15,1063.11,1059.0
2018-01-16,1061.78,1058.0
2018-01-17,1030.0,1024.0
2018-01-18,1048.5601,1044.3
2018-01-19,1053.47,1052.5
2018-01-20,1053.47,1052.5
2018-01-21,1053.47,1052.5
2018-01-22,1082.71,1089.8
2018-01-23,1082.71,1100.0
2018-01-24,1082.71,1103.0
2018-01-25,1095.52,1119.0
2018-01-26,1104.42,1111.0
2018-01-27,1104.42,1111.0
2018-01-28,1104.42,1111.0
2018-01-29,1096.78,1093.0
2018-01-30,1099.16,1105.0
2018-01-31,1095.9,1085.0
2018-02-01,1086.9,1080.0
2018-02-02,1090.4,1087.0
2018-02-03,1090.4,1087.0
2018-02-04,1090.4,1087.0
2018-02-05,1035.02,1042.0
2018-02-06,1007.72,1000.0
2018-02-07,1030.91,1020.0
2018-02-08,1013.56,1004.5
2018-02-09,996.77002,1000.0
2018-02-10,996.77002,1000.0
2018-02-11,996.77002,1000.0
2018-02-12,1034.76,1039.0
2018-02-13,1054.09,1053.5
2018-02-14,1054.09,1053.5
2018-02-15,1054.09,1053.5
2018-02-16,1054.09,1053.5
2018-02-17,1054.09,1053.5
2018-02-18,1054.09,1053.5
2018-02-19,1054.09,1053.5
2018-02-20,1054.09,1053.5
2018-02-21,1075.47,1082.0
2018-02-22,1064.28,1059.9
2018-02-23,1089.96,1106.0
2018-02-24,1089.96,1106.0
2018-02-25,1089.96,1106.0
2018-02-26,1099.71,1108.2
2018-02-27,1106.09,1112.0
2018-02-28,1108.23,1105.0
2018-03-01,1105.84,1105.5
2018-03-02,1106.92,1109.0
2018-03-03,1106.92,1109.0
2018-03-04,1106.92,1109.0
2018-03-05,1080.83,1075.5
2018-03-06,1103.3101,1110.0
2018-03-07,1092.17,1087.0
2018-03-08,1105.03,1105.6
2018-03-09,1106.54,1106.0
2018-03-10,1106.54,1106.0
2018-03-11,1106.54,1106.0
2018-03-12,1106.97,1111.8
2018-03-13,1111.38,1116.0
2018-03-14,1115.0,1113.9
2018-03-15,1110.26,1109.5
2018-03-16,1112.9301,1126.6
2018-03-17,1112.9301,1126.6
2018-03-18,1112.9301,1126.6
2018-03-19,1130.26,1131.1
2018-03-20,1134.1899,1132.0
2018-03-21,1147.26,1139.9
2018-03-22,1144.58,1139.0
2018-03-23,1128.9301,1126.0
2018-03-24,1128.9301,1126.0
2018-03-25,1128.9301,1126.0
2018-03-26,1146.73,1140.0
2018-03-27,1150.3,1146.9
2018-03-28,1151.09,1146.5
2018-03-29,1144.74,1142.8
2018-03-30,1153.08,1145.2
2018-03-31,1153.08,1145.2
2018-04-01,1153.08,1145.2
2018-04-02,1171.21,1162.0
2018-04-03,1160.97,1162.6
2018-04-04,1165.75,1162.0
2018-04-05,1169.12,1170.0
2018-04-06,1174.37,1170.0
2018-04-07,1174.37,1170.0
2018-04-08,1174.37,1170.0
2018-04-09,1177.6801,1178.3
2018-04-10,1168.0601,1174.0
2018-04-11,1137.2,1140.0
2018-04-12,1143.5,1141.0
2018-04-13,1134.21,1125.0
2018-04-14,1134.21,1125.0
2018-04-15,1134.21,1125.0
2018-04-16,1128.03,1125.0
2018-04-17,1130.3199,1133.5
2018-04-18,1115.7,1112.2
2018-04-19,1066.09,1065.0
2018-04-20,1089.45,1096.9
2018-04-21,1089.45,1096.9
2018-04-22,1089.45,1096.9
2018-04-23,1055.37,1035.0
2018-04-24,1053.99,1044.0
2018-04-25,1053.99,1044.0
2018-04-26,1018.97,1014.5
2018-04-27,1027.97,1031.0
2018-04-28,1027.97,1031.0
2018-04-29,1027.97,1031.0
2018-04-30,1027.97,1031.0
2018-05-01,1027.97,1031.0
2018-05-02,1012.84,1008.1
2018-05-03,1010.35,1019.0
2018-05-04,1010.89,1013.0
2018-05-05,1010.89,1013.0
2018-05-06,1010.89,1013.0
2018-05-07,1048.03,1056.0
2018-05-08,1047.83,1050.0
2018-05-09,1046.39,1042.0
2018-05-10,1019.69,1014.0
2018-05-11,1030.79,1034.0
2018-05-12,1030.79,1034.0
2018-05-13,1030.79,1034.0
2018-05-14,1051.45,1056.8
2018-05-15,1055.49,1047.0
2018-05-16,1034.3,1032.0
2018-05-17,1007.09,1006.0
2018-05-18,1022.21,1026.9
