Date,open,high,low,Close,Volume
2020-08-31,822.89001,822.89001,822.89001,822.89001,NaN
2020-09-01,836.41998,836.41998,836.41998,836.41998,NaN
2020-09-02,836.96997,836.96997,836.96997,836.96997,NaN
2020-09-03,836.71002,836.71002,836.71002,836.71002,NaN
2020-09-04,828.21997,828.21997,828.21997,828.21997,NaN
2020-09-07,832.62,832.62,832.62,832.62,NaN
2020-09-08,828.54999,828.54999,828.54999,828.54999,NaN
2020-09-09,831,831,831,831,NaN
2020-09-10,833.33002,833.33002,833.33002,833.33002,NaN
2020-09-11,832.22998,832.22998,832.22998,832.22998,NaN
2020-09-14,824.90002,824.90002,824.90002,824.90002,NaN
2020-09-15,821.87,821.87,821.87,821.87,NaN
2020-09-16,820.10999,820.10999,820.10999,820.10999,NaN
2020-09-17,818.15002,818.15002,818.15002,818.15002,NaN
2020-09-18,818.85999,818.85999,818.85999,818.85999,NaN
2020-09-21,823.12,823.12,823.12,823.12,NaN
2020-09-22,822.59003,822.59003,822.59003,822.59003,NaN
2020-09-23,822.27002,822.27002,822.27002,822.27002,NaN
2020-09-24,813.31,813.31,813.31,813.31,NaN
2020-09-25,810.77002,810.77002,810.77002,810.77002,NaN
2020-09-28,814.02002,814.02002,814.02002,814.02002,NaN
2020-09-29,813.45001,813.45001,813.45001,813.45001,NaN
2020-09-30,813.5,813.5,813.5,813.5,NaN
2020-10-01,815.59003,815.59003,815.59003,815.59003,NaN
2020-10-02,822.96002,822.96002,822.96002,822.96002,NaN
2020-10-05,824.39001,824.39001,824.39001,824.39001,NaN
2020-10-06,830.65997,830.65997,830.65997,830.65997,NaN
2020-10-07,833.85999,833.85999,833.85999,833.85999,NaN
2020-10-08,830.78998,830.78998,830.78998,830.78998,NaN
2020-10-09,833.39001,833.39001,833.39001,833.39001,NaN
2020-10-12,833.17999,833.17999,833.17999,833.17999,NaN
2020-10-13,835.53998,835.53998,835.53998,835.53998,NaN
2020-10-14,850.13,850.13,850.13,850.13,NaN
2020-10-15,848.20001,848.20001,848.20001,848.20001,NaN
2020-10-16,843.14001,843.14001,843.14001,843.14001,NaN
2020-10-19,839.54999,839.54999,839.54999,839.54999,NaN
2020-10-20,841.64001,841.64001,841.64001,841.64001,NaN
2020-10-21,843.56,843.56,843.56,843.56,NaN
2020-10-22,847.31,847.31,847.31,847.31,NaN
2020-10-23,854.19,854.19,854.19,854.19,NaN
2020-10-26,853.54999,853.54999,853.54999,853.54999,NaN
2020-10-27,853.23999,853.23999,853.23999,853.23999,NaN
2020-10-28,854.75,854.75,854.75,854.75,NaN
2020-11-02,846.12,846.12,846.12,846.12,NaN
2020-11-03,845.12,845.12,845.12,845.12,NaN
2020-11-04,844.37,844.37,844.37,844.37,NaN
2020-11-05,844.90002,844.90002,844.90002,844.90002,NaN
2020-11-09,862.58002,862.58002,862.58002,862.58002,NaN
2020-11-10,866.79999,866.79999,866.79999,866.79999,NaN
2020-11-11,864.94,864.94,864.94,864.94,NaN
2020-11-12,866.96997,866.96997,866.96997,866.96997,NaN
2020-11-13,871.72998,871.72998,871.72998,871.72998,NaN
2020-11-16,876.32001,876.32001,876.32001,876.32001,NaN
2020-11-17,878.16998,878.16998,878.16998,878.16998,NaN
2020-11-19,881.87,881.87,881.87,881.87,NaN
2020-11-20,893.5,893.5,893.5,893.5,NaN
2020-11-23,895.03003,895.03003,895.03003,895.03003,NaN
2020-11-24,902.88,902.88,902.88,902.88,NaN
2020-11-25,910.13,910.13,910.13,910.13,NaN
2020-11-26,903.5,903.5,903.5,903.5,NaN
2020-11-27,892.09998,892.09998,892.09998,892.09998,NaN
2020-11-30,902.07001,902.07001,902.07001,902.07001,NaN
2020-12-01,898.32001,898.32001,898.32001,898.32001,NaN
2020-12-02,897.84998,897.84998,897.84998,897.84998,NaN
2020-12-03,898.34003,898.34003,898.34003,898.34003,NaN
2020-12-04,899.04999,899.04999,899.04999,899.04999,NaN
2020-12-07,901.17999,901.17999,901.17999,901.17999,NaN
2020-12-08,903.52002,903.52002,903.52002,903.52002,NaN
2020-12-09,903.52002,908.69,902.77002,907.65997,NaN
2020-12-10,907.65997,911.87,907.5,907.5,NaN
2020-12-11,907.5,931.21002,907.5,931.21002,NaN
2020-12-14,931.21002,932.90002,926.21997,927.45001,NaN
2020-12-15,927.45001,930.21002,924.02002,930.21002,NaN
2020-12-16,930.21002,936.60999,925.33002,935.26001,NaN
2020-12-17,935.26001,946.91998,932.40002,946.25,NaN
2020-12-18,946.25,950.56,943.84998,944.58002,NaN
2020-12-21,944.58002,944.58002,911.51001,912.16998,NaN
2020-12-22,912.16998,928.51001,906.77002,927.78998,NaN
2020-12-23,927.78998,935.71002,927.07001,932.42999,NaN
2020-12-24,932.42999,932.81,926.58002,927.15997,NaN
2020-12-25,927.15997,929.03003,919.10999,920.09003,NaN
2020-12-28,920.09003,924.07001,918.22998,919.71997,NaN
2020-12-29,919.71997,923.83002,916.87,917.12,NaN
2020-12-30,917.12,921.46997,916.38,918.09998,NaN
2020-12-31,915.13,924.78003,913.92999,924.78003,NaN
2021-01-04,924.78003,928.96997,922.29999,928.96002,NaN
2021-01-05,925.98999,926.78998,919.52002,919.52002,NaN
2021-01-06,919.52002,921.57001,915.01001,915.66998,NaN
2021-01-07,915.66998,924.78998,915.66998,921.52002,NaN
2021-01-08,921.52002,924.31,918.90002,919.59998,NaN
