date,close_indice,close_future
2020-06-11,"48,892.12","49,076"
2020-06-12,"49,247.69","49,299"
2020-06-13,"49,247.69","49,299"
2020-06-14,"49,247.69","49,299"
2020-06-15,"47,919.52","48,137"
2020-06-16,"47,919.52","48,137"
2020-06-17,"49,661.14","50,453"
2020-06-18,"49,589.11","50,319"
2020-06-19,"49,812.34","50,564"
2020-06-20,"49,812.34","50,564"
2020-06-21,"49,812.34","50,564"
2020-06-22,"49,877.86","50,548"
2020-06-23,"51,193.19","52,052"
2020-06-24,"50,193.80","50,468"
2020-06-25,"49,732.92","49,737"
2020-06-26,"49,477.85","49,528"
2020-06-27,"49,477.85","49,528"
2020-06-28,"49,477.85","49,528"
2020-06-29,"49,920.09","49,978"
2020-06-30,"50,174.95","50,252"
2020-07-01,"49,570.88","50,066"
2020-07-02,"50,309.77","51,003"
2020-07-03,"50,179.89","50,908"
2020-07-04,"50,179.89","50,908"
2020-07-05,"50,179.89","50,908"
2020-07-06,"50,503.91","51,286"
2020-07-07,"50,922.32","51,787"
2020-07-08,"51,558.75","52,322"
2020-07-09,"51,536.91","52,313"
2020-07-10,"51,154.08","51,908"
2020-07-11,"51,154.08","51,908"
2020-07-12,"51,154.08","51,908"
2020-07-13,"51,874.81","52,684"
2020-07-14,"51,235.09","52,075"
2020-07-15,"51,606.70","52,412"
2020-07-16,"51,363.49","52,183"
2020-07-17,"51,515.88","52,370"
2020-07-18,"51,515.88","52,370"
2020-07-19,"51,515.88","52,370"
2020-07-20,"51,852.22","52,661"
2020-07-21,"52,016.52","52,899"
2020-07-22,"51,412.02","52,240"
2020-07-23,"51,683.61","52,567"
2020-07-24,"51,259.48","52,158"
2020-07-25,"51,259.48","52,158"
2020-07-26,"51,259.48","52,158"
2020-07-27,"51,914.08","52,801"
2020-07-28,"52,043.05","52,992"
2020-07-29,"52,245.75","53,138"
2020-07-30,"51,451.44","52,320"
2020-07-31,"51,368.82","52,184"
2020-08-01,"51,368.82","52,184"
2020-08-02,"51,368.82","52,184"
2020-08-03,"51,571.71","52,431"
2020-08-04,"51,951.34","52,750"
2020-08-05,"53,279.30","54,149"
2020-08-06,"53,350.88","54,040"
2020-08-07,"52,435.65","53,243"
2020-08-08,"52,435.65","53,243"
2020-08-09,"52,435.65","53,243"
2020-08-10,"52,435.65","53,243"
2020-08-11,"52,831.61","53,518"
2020-08-12,"53,126.54","53,788"
2020-08-13,"53,082.08","54,033"
2020-08-14,"52,737.48","53,666"
2020-08-15,"52,737.48","53,666"
2020-08-16,"52,737.48","53,666"
2020-08-17,"53,140.21","54,305"
2020-08-18,"52,738.12","54,341"
2020-08-19,"52,137.86","53,804"
2020-08-20,"51,380.02","53,056"
2020-08-21,"51,669.18","53,243"
2020-08-22,"51,669.18","53,243"
2020-08-23,"51,669.18","53,243"
2020-08-24,"52,256.84","53,912"
2020-08-25,"51,767.88","53,267"
2020-08-26,"52,256.85","53,819"
2020-08-27,"52,583.70","54,129"
2020-08-28,"51,750.45","53,247"
2020-08-29,"51,750.45","53,247"
2020-08-30,"51,750.45","53,247"
2020-08-31,"51,225.46","52,764"
2020-09-01,"51,704.10","53,322"
2020-09-02,"51,678.30","53,404"
2020-09-03,"50,319.16","52,041"
2020-09-04,"49,720.42","51,429"
2020-09-05,"49,720.42","51,429"
2020-09-06,"49,720.42","51,429"
2020-09-07,"50,185.43","51,991"
2020-09-08,"50,182.96","51,391"
2020-09-09,"50,838.92","52,185"
2020-09-10,"51,532.12","52,859"
2020-09-11,"51,715.12","53,035"
2020-09-12,"51,715.12","53,035"
2020-09-13,"51,715.12","53,035"
2020-09-14,"51,976.82","53,309"
2020-09-15,"51,795.70","53,214"
2020-09-16,"51,629.73","53,061"
2020-09-17,"50,700.14","52,244"
2020-09-18,"50,399.16","51,921"
2020-09-19,"50,399.16","51,921"
2020-09-20,"50,399.16","51,921"
2020-09-21,"49,153.11","50,700"
2020-09-22,"49,126.16","50,583"
2020-09-23,"50,127.05","51,642"
2020-09-24,"50,127.05","51,642"
2020-09-25,"49,547.74","50,980"
2020-09-26,"49,547.74","50,980"
2020-09-27,"49,547.74","50,980"
2020-09-28,"50,578.66","52,100"
2020-09-29,"50,319.94","51,827"
2020-09-30,"50,042.44","51,566"
2020-10-01,"50,159.14","51,608"
2020-10-02,"49,896.68","51,449"
2020-10-03,"49,896.68","51,449"
2020-10-04,"49,896.68","51,449"
2020-10-05,"50,183.12","51,742"
2020-10-06,"49,869.36","51,320"
2020-10-07,"50,412.19","51,682"
2020-10-08,"50,131.37","51,426"
2020-10-09,"50,781.18","52,106"
2020-10-10,"50,781.18","52,106"
2020-10-11,"50,781.18","52,106"
2020-10-12,"51,158.56","52,441"
2020-10-13,"50,722.36","51,971"
2020-10-14,"51,041.59","52,231"
2020-10-15,"50,503.89","51,749"
2020-10-16,"50,697.69","51,882"
2020-10-17,"50,697.69","51,882"
2020-10-18,"50,697.69","51,882"
2020-10-19,"50,741.94","52,007"
2020-10-20,"50,851.62","51,865"
2020-10-21,"50,905.12","51,936"
2020-10-22,"50,276.84","51,371"
2020-10-23,"50,692.28","51,750"
2020-10-24,"50,692.28","51,750"
2020-10-25,"50,692.28","51,750"
2020-10-26,"50,286.90","51,306"
2020-10-27,"49,560.81","50,524"
2020-10-28,"47,930.58","48,859"
2020-10-29,"47,576.46","48,494"
2020-10-30,"47,472.92","48,385"
2020-10-31,"47,472.92","48,385"
2020-11-01,"47,472.92","48,385"
2020-11-02,"48,392.97","49,272"
2020-11-03,"48,853.14","49,866"
2020-11-04,"49,300.89","50,212"
2020-11-05,"50,762.83","51,624"
2020-11-06,"51,876.24","52,868"
2020-11-07,"51,876.24","52,868"
2020-11-08,"51,876.24","52,868"
2020-11-09,"52,684.37","53,825"
2020-11-10,"52,922.51","54,022"
2020-11-11,"52,784.39","53,859"
2020-11-12,"52,335.71","53,497"
2020-11-13,"52,517.57","53,848"
2020-11-14,"52,517.57","53,848"
2020-11-15,"52,517.57","53,848"
2020-11-16,"52,551.86","53,835"
2020-11-17,"52,288.79","53,572"
2020-11-18,"52,518.35","54,305"
2020-11-19,"51,977.91","53,749"
2020-11-20,"51,915.40","53,528"
2020-11-21,"51,915.40","53,528"
2020-11-22,"51,915.40","53,528"
2020-11-23,"52,478.55","54,098"
2020-11-24,"53,049.43","54,755"
2020-11-25,"52,940.79","54,611"
2020-11-26,"53,084.13","54,779"
2020-11-27,"53,021.58","54,680"
2020-11-28,"53,021.58","54,680"
2020-11-29,"53,021.58","54,680"
2020-11-30,"52,375.50","54,024"
2020-12-01,"52,764.09","54,641"
2020-12-02,"53,482.74","55,401"
2020-12-03,"54,171.85","56,165"
2020-12-04,"54,500.04","56,259"
2020-12-05,"54,500.04","56,259"
2020-12-06,"54,500.04","56,259"
2020-12-07,"54,646.92","56,479"
2020-12-08,"54,262.51","56,080"
2020-12-09,"54,349.61","56,228"
2020-12-10,"54,334.20","56,225"
2020-12-11,"54,458.61","56,341"
2020-12-12,"54,458.61","56,341"
2020-12-13,"54,458.61","56,341"
2020-12-14,"54,520.69","56,276"
2020-12-15,"54,466.51","56,407"
2020-12-16,"54,466.51","56,407"
2020-12-17,"55,484.28","57,530"
2020-12-18,"54,692.40","56,642"
2020-12-19,"54,692.40","56,642"
2020-12-20,"54,692.40","56,642"
2020-12-21,"53,784.25","55,753"
2020-12-22,"53,648.03","55,702"
2020-12-23,"53,958.73","56,008"
2020-12-24,"54,125.23","56,158"
2020-12-25,"54,125.23","56,158"
2020-12-26,"54,125.23","56,158"
2020-12-27,"54,125.23","56,158"
2020-12-28,"53,956.26","56,174"
2020-12-29,"54,196.13","56,369"
2020-12-30,"54,615.33","56,646"
2020-12-31,"54,379.58","56,389"
2021-01-01,"54,379.58","56,389"
2021-01-02,"54,379.58","56,389"
2021-01-03,"54,379.58","56,389"
2021-01-04,"55,438.07","57,278"
2021-01-05,"55,976.32","57,911"
2021-01-06,"56,877.60","58,669"
2021-01-07,"58,006.23","59,889"
2021-01-08,"58,423.34","60,417"
2021-01-09,"58,423.34","60,417"
2021-01-10,"58,423.34","60,417"
2021-01-11,"58,717.77","60,549"
2021-01-12,"58,492.92","60,470"
2021-01-13,"58,337.66","60,194"
2021-01-14,"58,735.95","60,785"
2021-01-15,"58,446.35","60,385"
2021-01-16,"58,446.35","60,385"
2021-01-17,"58,446.35","60,385"
2021-01-18,"58,548.17","60,436"
2021-01-19,"58,358.85","60,312"
2021-01-20,"58,857.76","60,767"
